Ticker,GICS SubIndustry,Unpriced Operating Risk,Unpriced Value Score,Unpriced Quality Score,Composite Score,Score,EV/EBITDA,ROIC,Unlevered Beta
YORW,5510,77.15437064751603,61.23260493865002,54.94172323410093,64.44289960675566,40.0,21801904.12373404,0.010353353,0.17868102058583887
ESI,1510,75.13307807863606,62.92822362299675,55.19981384654816,64.42037184939365,30.0,16522479.536610607,0.021518899,1.217762658909247
PVLA,3520,82.82905756565481,60.70656318670966,49.691762607748174,64.40912778670422,5.0,-48559087.90829976,-0.161548217,0.11994403098139736
NABL,4510,79.87944970331728,61.44410125058107,51.88474316003741,64.40276470464525,20.0,31588017.865132086,-0.003890243,0.8977288210658034
CRUS,4530,80.65454110273035,60.42891150190633,52.09885956801402,64.39410405755024,0.0,78767411.81240432,0.025478456,1.2933364703291421
GHC,2530,78.89519488463765,63.22029648924023,51.03002572543191,64.38183903310328,20.0,12927582.715346752,-0.017459614,0.8047082096195456
JKHY,4020,80.58784774896301,60.11878980718914,52.156480076722616,64.28770587762493,30.0,14081752.525946843,0.045955992,0.1269039693257977
DHT,1010,81.836320606242,60.20100786048356,50.474590594637164,64.17063968712091,40.0,16713720.317358391,0.013825448,0.5290955996420148
PLOW,2010,79.47799724604678,61.445835406079674,51.54477546407977,64.15620270540208,10.0,15169330.11233959,0.054614199,0.7742816616508796
PKE,2010,79.08662998169223,61.17480804890766,52.08363689432357,64.11502497497449,5.0,61474875.9165992,0.015637519,0.9179492658474706
EML,2010,77.96536436213734,62.25742690986112,52.12069760843986,64.11449629347943,5.0,10947375.780047264,0.02061963,0.9940068787676395
USPH,3510,74.11759056902795,62.852658687085246,55.31272928412663,64.09432618007993,5.0,26313931.29201053,0.011908572,1.0932674166524257
FUBO,5020,86.81709948201187,61.244492536767744,44.19996061188613,64.0871842102219,67.0,-162102019.45760104,-0.022483924,-0.8253106716994264
NVST,3510,75.6363479813619,62.2693649605736,54.3090876542905,64.07160019874199,10.0,20546515.133663367,0.005256326,0.8801022818658032
CELC,3520,83.62042942162084,60.63476896805083,47.67736943839238,63.977522609354686,5.0,-39213113.48315743,-0.344807902,0.04768211410600269
HSHP,2030,78.88610632826509,60.8854614420696,52.00524467189518,63.925604147409956,28.0,10326628.637931036,0.000805353,0.7939184609055789
AEHR,4530,73.56965380826726,66.83518573406704,51.26991445557343,63.89158466596924,5.0,-261014493.52673972,-0.025086296,1.6421404768705523
XYL,2010,77.23084359233391,61.931281908252075,52.112657970739996,63.75826115710867,5.0,26169068.480674632,0.019538853,1.043830841455188
ADP,2020,75.07581790599005,58.922818207088724,57.22535462539866,63.741330246159144,30.0,71522812.99668807,0.084453424,0.5181732100893832
HY,2010,77.08269235335503,62.275764538746316,51.780562294756834,63.713006395619395,5.0,10091530.219417475,-0.02510512,1.0538802261784717
VICI,6010,77.32894090760219,62.04187531009992,51.66816720270183,63.67966114013464,10.0,17049052.570227362,0.019084837,0.25213248358459867
TUSK,1010,78.04803984099024,62.17817184889471,50.53770321274841,63.58797163421112,40.0,-20365023.92102564,0.017957232,0.7188736468968933
HG,4030,76.13940468437625,60.02694895138554,54.49349128428884,63.55328164001688,30.0,3234207.414418929,0.070008936,0.345274905962221
BNTC,3520,79.93838146836372,60.41173527056359,50.13112848728355,63.493748408736955,5.0,-10179198.61368378,-0.121576848,0.3838980676095382
AXS,4030,74.45914265055485,61.269790991173274,54.28404487121477,63.3376595043143,20.0,9763935.143542347,0.049189944,0.566742890275534
STXS,3510,77.4105568388021,64.48316298605111,47.938868116077764,63.27752931364366,5.0,-29002870.406805538,-0.343860536,0.881990158046826
